,addr,type,token_vol_sum,token_vol_count,block_time,BSC,Gnosis,Optimism,Arbitrum
32,0x30c1ddff16e310c1b0bade2d815bbb4c10cfb5fe,ether,0.00586,4,"['2022-08-05T00:30:15Z', '2022-08-05T08:44:59Z', '2022-08-06T09:38:07Z', '2022-08-29T01:59:37Z']",0,0,0,0
33,0x3127f62a428f4e3e9995675cfe96f456730be067,ether,0.0064,4,"['2022-08-05T00:52:41Z', '2022-08-05T06:46:37Z', '2022-08-06T09:57:40Z', '2022-08-28T17:34:53Z']",0,0,0,0
34,0x314b40bb168f58d501e79db8fab7410071f61814,ether,0.00498,4,"['2022-08-05T00:54:50Z', '2022-08-05T06:44:15Z', '2022-08-06T10:04:43Z', '2022-08-29T01:59:41Z']",0,0,0,0
35,0x323c39b651b7949703d600359da0bf0c5b396589,ether,0.005,4,"['2022-08-05T00:50:53Z', '2022-08-05T06:35:34Z', '2022-08-06T09:55:33Z', '2022-08-29T01:59:52Z']",0,0,0,0
36,0x34f2072473aec42943ef949cca18a2ed2c1a8b42,ether,0.00618,4,"['2022-08-05T00:33:45Z', '2022-08-05T06:45:54Z', '2022-08-06T09:38:18Z', '2022-08-28T17:34:53Z']",0,0,0,0
37,0x38276ef08893a5db2c9389e6e52360e172139e48,ether,0.00649,4,"['2022-08-05T00:41:22Z', '2022-08-05T08:42:48Z', '2022-08-06T09:47:00Z', '2022-08-29T01:59:37Z']",0,0,0,0
38,0x387e0e42072c2a24185496e27bcb1ca6604bb976,ether,0.00478,4,"['2022-08-05T00:30:15Z', '2022-08-05T06:44:15Z', '2022-08-06T09:35:45Z', '2022-08-28T21:15:20Z']",0,0,0,0
39,0x3ac66a76b15e2aed55915968dd8e09235dc45b24,ether,0.00455,4,"['2022-08-05T00:56:29Z', '2022-08-05T08:44:59Z', '2022-08-06T10:02:57Z', '2022-08-29T01:59:37Z']",0,0,0,0
40,0x3ba7c3648af1e61982098a2dac55a8f6b508ba47,ether,0.00645,4,"['2022-08-05T00:44:47Z', '2022-08-05T08:42:48Z', '2022-08-06T09:50:26Z', '2022-08-28T17:34:53Z']",0,0,0,0
41,0x3e13719032917e354275c9160d2da83b923f6125,ether,0.00631,4,"['2022-08-05T00:45:57Z', '2022-08-05T06:48:19Z', '2022-08-06T09:50:26Z', '2022-08-29T01:59:37Z']",0,0,0,0
42,0x3e33b0e2c4ac6f5e4701801edfaedf6cc8871e26,ether,0.00491,4,"['2022-08-05T00:28:36Z', '2022-08-05T06:46:37Z', '2022-08-06T09:37:24Z', '2022-08-28T17:34:53Z']",0,0,0,0
43,0x3e9516d4ec7f1d187ad9196132b4f118d771c979,ether,0.00618,4,"['2022-08-05T01:01:21Z', '2022-08-05T08:42:48Z', '2022-08-06T10:06:31Z', '2022-08-28T17:34:54Z']",0,0,0,0
44,0x3eaf8be99e07b3b1a9fc9b5030eaf0645801993c,ether,0.00582,4,"['2022-08-05T00:58:10Z', '2022-08-05T06:35:34Z', '2022-08-06T10:02:57Z', '2022-08-28T21:15:30Z']",0,0,0,0
